author,n1,r1,p1,n2,r2,p2,id
Bjerrum,288,32,0.111111111111111,288,35,0.121527777777778,non_smoker
Gersh,376,5,0.0132978723404255,376,8,0.0212765957446809,non_smoker
Hanifa,311,55,0.176848874598071,311,55,0.176848874598071,non_smoker
Hoffmann,1364,33,0.0241935483870968,1364,33,0.0241935483870968,non_smoker
Kemper,39,3,0.0769230769230769,39,5,0.128205128205128,non_smoker
Kerkhoff,399,71,0.177944862155388,400,74,0.185,non_smoker
Nguyen,351,26,0.0740740740740741,351,26,0.0740740740740741,non_smoker
Reeve,505,52,0.102970297029703,512,56,0.109375,non_smoker
Shapiro,319,32,0.100313479623824,319,32,0.100313479623824,non_smoker
Thit,325,5,0.0153846153846154,325,15,0.0461538461538462,non_smoker
Yoon,1337,194,0.145100972326103,1337,204,0.152580403889304,non_smoker
Affolabi,7,0,0,7,0,0,on_ipt
Ahmad,3,0,0,3,0,0,on_ipt
Balcha,19,1,0.0526315789473684,19,1,0.0526315789473684,on_ipt
Thit,12,1,0.0833333333333333,12,1,0.0833333333333333,on_ipt
Gersh,1,0,0,1,0,0,diabetes
Nguyen,1,0,0,1,0,0,diabetes
Al Darraji,125,15,0.12,125,15,0.12,prisoner
Al Darraji,125,15,0.12,125,15,0.12,other_setting
